comment_id,comment_content,comment_author_name,comment_vote_count,child_comment_count
760454666,好漂亮的小姐姐,spn doc,0,0
760474143,估计前面三个以为自己名次定了，心理上松了，没想到斜刺里冲出一匹黑马,猫猫,0,0
760906456,我我我看不了这个，我太替她们紧张了，才热身的时候我的心就要从嗓子眼儿跳出来了,一个,0,0
762611248,我去去去，，这这这，，，也太太太，，，厉害了,啦啦啦啦,0,0
762634005,最后一圈一直保持第四的位置，弯道的时候追上前面，到了直道直接冲刺。太帅了,子观山澜,0,0
763696498,我看了好多遍 依旧没看出来她是从哪儿冒出来的,yummy,0,0
764010450,第二道那个最后怎么减速不跑了？这猪队友…,残风,0,0
765670431,<p>从找到主角开始，我傻了</p>,Hustle,0,0
766244026,太牛逼了,海绵宝宝,0,0
767250000,谁是第一啊，突然发力的姑娘  是第一还是第二啊,easy boy,0,0
767269580,真羡慕人家的腹肌，低头看看自己，肚子圆鼓鼓[捂脸],温柔的风,0,0
767374565,开天辟地开始录系列,冷冷静静,0,0
767985259,mark,Summershine,0,0
768631548,看了半天没看对人？？[发呆],丘处机,0,0
768753943,一開始的法國妹子真好看呀,孙Goku,0,0
772034937,我分明听见了解说员说牛逼？,盲目自信,0,0
772355092,是真的强,不许回头,0,0
776508351,这距离都能追上来！！！,圆枪枪,0,0
778963236,开头几分钟挨个特写真无聊，我也就看了几十遍。,不浪不是中国人,0,0
782539256,<p>究竟是2014年的还是2013年的</p>,你是真的假的,0,0
782804441,<p>这才是真正意义上的女权。</p>,萌萌冲鸭,0,0
782881893,05：55最后一圈。,我也逛逛bihu,0,0
783324947,"<p>提醒，从最后一个弯道开始注意，省的像我一样看好几遍....</p><a class=""comment_sticker"" href=""https://pic4.zhimg.com/v2-ba306425d0a7aee2c7260381f1bf7b97.gif"" data-width="""" data-height="""">[欢呼]</a>",huangfish1224,0,0
784236905,招收声音主持只限女生，有意私聊,仙女菜,0,0
784717692,除了第一棒，全是黑人。法国是黑人国家吗？其他国家的金发长腿妹子好看。法国？切,巫妖,0,0
785297264,看到最后心脏碰碰跳,沙漠中的旅人,0,0
785841362,看的我想哭,你真可爱,0,0
786007478,不可能的，魔鬼队没可能这么犀利,二狗子,0,0
787493506,跑步运动员身材真的好[看看你],向夏威夷问候,0,0
787666217,如有神助,praise葛,0,0
787743491,看着他们跑步好有美感！！！,重新开始,0,0
788735706,感觉好像是吃了药了[捂脸],实习生,0,0
788896126,第一次看短跑比赛看的起鸡皮疙瘩，天哪,反逻辑,1,0
788997180,我都高中的时候4×400米决赛最后一棒追了前面的50米拿的冠军，全校都沸腾了，还进了校田径队，不过后来学业为重，没继续训练，不然也是国家二级运动员了。,DDJ,0,0
789085816,得第一的姑娘接棒以后估计是这么想的，“我先让你们半圈，后半圈我再发力！”,M豆,0,0
789141640,看到最后激动的哭了,The Flood,0,0
789211387,第一遍看：我凑这第二名，真厉害反超了。<br>？？？？这4名？？？哪冒出来？？,李大侠,0,0
790117439,我觉得视频可以再短一点[捂嘴],辰与申,0,0
790122016,只有我注意到跑过程中竟然穿越跑道？？？？？犯规了吧？,心海,0,0
790621313,她……是怎么追上来的[惊讶][惊讶][惊讶],愉快的爹地,0,0
791683238,这是真牛逼，速度怎么提起来的呢,啤酒与大葱,0,0
792950506,法国队为啥黑人这么多[捂脸][捂脸][捂脸],Jacob,0,1
793073124,一脸懵逼到只会说woc,林白,0,0
793518641,那么。。。到底最后谁赢了？,蟋蟀得帅,0,0
794034004,我只想说，前面介绍时间感觉好长哇，我看的她们呼气一直都很好紧张[捂脸],丹枫,0,0
795071127,惊了,瓜皮,0,0
795407628,咋没截上盘古开天辟地..手动狗头,蝉羽三十,0,0
795630454,真就脱非入欧呗,青虫刀塔,0,0
796715799,太强了，能在400米跑中最后直道这样加速，神人！,我能耶,0,0
797696413,只能说这小姐姐系鞋带的方式跟我一样,十一月的雨,0,0
798183872,Triple Kill,大馄饨,0,0
799305011,波兰 意大利的第一棒好看。法国也可以。,人工智能,0,0
799576938,法国雄🐔真的迟早要变乌鸡了,pis,0,0
800089402,太燃了！！！,MiaowYang,0,0
803983029,看的热泪盈眶,姚远,0,0
