url,title,description
http://www.zhihu.com/topic/21021658/hot,同桌，你好烦（书籍）,龙喜喜的同桌许小帅是五年一班有名的’搞怪大王。他只用了一句鲁迅的名言就把同学们从成堆的作业中解脱出来；愚人节，他送给“灭绝师太”高主任一份可怕的礼物，却破例得到了高主任的夸奖；他到美发店给小狗“黑妹”理发，却把“黑妹”变成了沙皮狗…… 许小帅、龙喜喜这对同桌冤家从幼儿园时就结下了“深仇”。尽管许小帅和龙喜喜签署了“同桌使用说明书”，这个搞怪大王还是免不了被龙喜喜捉弄——他在龙喜喜家借住几天，却被…...
http://www.zhihu.com/topic/21058568/hot,你好鸡蛋哥哥（书籍）,早就应该从蛋壳里蹦出来的小鸡，因为力气有点小、自尊心有点强，一直背着蛋壳跑来跑去。弟弟妹妹们都长得比他高了，他还是个鸡蛋，而且，觉得做个蛋宝宝也挺不错的。一次阴差阳错，这个蛋壳里的哥哥还成了保护弟弟们的大英雄。...
http://www.zhihu.com/topic/21041848/hot,我好-你好（书籍）,沟通分析（Transactional Analysis，TA）是一种人格理论，它也是促使人格改变和成长的方法。 《我好—你好》一书是美国精神病学家托马斯?哈里斯撰写的有关沟通分析流派的经典之作，该书自诞生之日起，就以其通俗的语言、独到的见解及对人性的深刻认识吸引了全世界各地的读者，也使该书成为继沟通分析流派创始人埃瑞克?伯恩的《人间游戏》之后的又一本介绍沟通分析的畅销书。 全书共包括12章，对“父母”、“儿童”和“成人”三种…...
http://www.zhihu.com/topic/21041704/hot,月亮，你好吗（书籍）,关于“月亮”的图画书实在太多了。但是实在不能漏掉安德烈·德昂的这本《月亮，你好吗》。 我喜欢这本书，因为它简单。 故事简单，想法简单，画法简单，形式简单，人物简单，文字简单，但是却样样生动有趣。 故事是这样开始的，月亮安静地高高挂在天边，一个小人儿划着小船慢慢地轻轻地靠近，他大声地喊：“月亮，你好吗？”吵醒了月亮，他与月亮一起开怀大笑，笑得翻了好几个筋斗，挂着月亮的线突然断了，月亮“扑通”一声掉进…...
http://www.zhihu.com/topic/21123388/hot,你好，无聊（书籍）,"《左岸译丛:你好,无聊》是一本描写法国“90后一代”青春迷惘的小说。……萨沙是个十四岁的少年，因为厌倦学校生活，在新朋友奥古斯丁的陪伴下，渐渐地开始逃学。因为还是中学一年级的学生，他们也都喜欢流连于游乐场和快餐店。他们对一切幻灭，开始吸毒。他们从一般好友，变成情人，他们在恋爱。对他们而言，相爱，即是一同达到“一切都消逝的境界”……..."
http://www.zhihu.com/topic/21000857/hot,你好忧愁（书籍）,小说的主人公——少女塞茜尔——生性浪漫不羁，跟同为浪荡子的父亲过着随心所欲的荒唐日子，不愿意把自己的生活纳入到正规的轨道。为此，她竭力阻挠鳏居多年的父亲雷蒙和其女友安娜的婚事。因为，在塞茜尔的眼中，安娜是一个生活正派、循规蹈矩的温顺女性，一旦让她进入了家庭生活，不仅雷蒙老爸得受她的管制，而且塞茜尔的落拓不羁的生活方式也得改变，她得按照安娜的培养计划，去做一个乖乖女。于是，塞茜尔跟自己刚刚认识的男…...
http://www.zhihu.com/topic/21012856/hot,世间始终你好（书籍）,"自姜铭去年回西大任教以来，还没遇到过这么“勇敢”的学生
 di一次课，他就收到了来自南安安“嚣张”的请假条：我有病，得治。
 第二次课，他竟然看到了三份写着南安安名字的随堂测试
 在姜铭愉快地扣掉她30分的平时分之前，南安安赶到了他办公室负荆请罪，总算挽回了差点跑走的分数。
 挽回分数的同时，南安安把自己沦陷在了男神导师深邃的眼眸中。
 男神只给她一个人辅导专业课，只让她一个人给他喂鱼，
 只按过她的脑袋，只载…..."
http://www.zhihu.com/topic/21132178/hot,你好，陌生人（书籍）,《你好，陌生人》以“遇见陌生人”为主题的旅行故事。在旅行路途中，我们看过美的风景，也遇到过各种各样的人，是他们让地图上的每一寸光阴都充满了旅行的意义，虽然，他们于旅行者，是有缘无份的陌生人。但这些故事需要被记录下来，因他们曾抵达我们心里的远方。18个旅行当中的陌生人，在世界的不同角落曾给过旅人无数的情愫。南非、巴黎、瑞士、日本、泰国、苏丹……背包客、渔夫、边境教师、修道士、厨师……旅行的意义不仅仅…...
http://www.zhihu.com/topic/21089201/hot,你好！植物（书籍）,《你好！植物》用轻松的风格介绍了近300种南北东西喜闻乐见的花草。通过故事或知识切入点介绍植物，包括大众误区，比如情人节的玫瑰，不是兰科却叫兰的很多常见植物；另外还有各种唤起城市的人们儿时乡村回忆的野果，桃金娘、地菍、悬钩子之类。通过这本书，你可以跟随植物达人的视线，由陌生到熟悉，一点点去认识花草，体会发现的乐趣。当你在游览的旅程中，如果认出身边的野生植物，那原本很普通的行程会变得更加有情趣，增添…...
http://www.zhihu.com/topic/21061238/hot,你好薇薇安（书籍）,一个女孩（薇薇安）因为深爱的人死了而陷入寂寞的回忆之中不能自拔，错把一个同名的人当自己的情感寄托，寄予对男友的牵挂。越深爱越寂寞，薇薇安的寂寞如黑洞，吸引着身边的人，同时自己也沉浸在黑洞中不能解脱。在这个过程中，温暖善良的咖啡店店长尼古拉和强悍精明的女编辑卢都对薇薇安产生了异样的好感……...
